n,SGD,Bayes,split
74,1.9894545000000001,1.49984025,3.9279532500000003
75,1.98694628,1.4973862,3.96373744
76,1.98451638,1.49745442,3.99399
77,1.9817522399999998,1.4944550399999998,4.02573834
78,1.9789934500000002,1.4881380100000001,4.05724329
79,1.9763464,1.492404,4.090059200000001
80,1.9738233900000002,1.49294178,2.5792425000000003
81,1.9713988999999998,1.4971535399999998,2.60042582
82,1.96880648,1.49864883,2.6135272400000003
83,1.96597548,1.49333268,2.62438764
84,1.9635,1.4983205,2.63887515
85,1.9607484000000002,1.49384236,2.64717288
86,1.95808377,1.49493144,2.66135958
87,1.95549112,1.49555296,2.67392664
88,1.95292255,1.4985188100000002,2.69109122
89,1.950471,1.4983568999999999,2.7020519999999997
90,1.94804246,1.4997764599999999,2.71702431
91,1.9458184,1.4996137999999999,2.73484904
92,1.9437744000000001,1.50242895,2.7469419299999998
93,1.94156624,1.4957646599999999,2.76049048
94,1.9393889000000002,1.4956496,2.7758049999999996
95,1.9374220800000002,1.4979408,2.79214848
96,1.9356796200000002,1.50131556,2.80858747
97,1.93395748,1.4994274399999998,2.82320262
98,1.93225527,1.50164784,2.84789241
99,1.930665,1.501842,2.859235
100,1.9290838399999999,1.5053534899999998,2.87760211
101,1.92767454,1.5070347000000002,2.89484976
102,1.9264285700000001,1.50938569,2.9110539799999997
103,1.9252313600000002,1.50947784,2.9259651200000003
104,1.92387405,1.5067248,2.9396703
105,1.92264496,1.51565584,2.95652762
106,1.92128237,1.51744297,2.9723744
107,1.92007368,1.51739352,2.99052216
108,1.9190638100000001,1.52549969,3.00669524
109,1.9179666,1.5208666,3.0166257
110,1.91680572,1.5186354,3.0313989
111,1.9156491199999999,1.5184892799999998,2.32186752
112,1.9145793399999997,1.52018222,2.32718528
113,1.9134763199999998,1.52228646,2.33362674
114,1.9123740999999999,1.52215265,2.3409630000000003
115,1.91105592,1.5183715599999998,2.3441314799999997
116,1.909791,1.51843185,2.34633204
117,1.9084765399999999,1.51970548,2.35243502
118,1.9071832499999999,1.52106276,2.35756969
119,1.9058160000000002,1.5208428,2.3621676000000003
120,1.90456904,1.52370944,2.36866454
121,1.9034379,1.5239141999999999,2.3736295600000004
122,1.9023020099999999,1.5242442900000002,2.38056783
123,1.90107996,1.52136716,2.38557524
124,1.89992,1.5210825,2.393075
125,1.8986574600000001,1.52015346,2.40238152
126,1.8972644300000001,1.51586438,2.40655094
127,1.89591168,1.51280768,2.41777024
128,1.89459075,1.51363956,2.4246478799999998
129,1.8931263,1.5139696,2.4307790000000002
130,1.8917172899999999,1.51628963,2.44016058
131,1.8903851999999999,1.51793004,2.45070012
132,1.88922776,1.5231399399999999,2.46393007
133,1.8881095799999998,1.52350228,2.47392274
134,1.88694765,1.5194385000000001,2.4798771
